 5 'S,YIN,2000-07-04,HCX,YHF,20,8:25,11:20,W,WILD NA24 698345, 0 
 7 'C,II01
 10 ', 667 814 740 2458 2378 2538 7145 5528
 20 ', 78 173 125 2412 2463 2361 7201 4813
 30 ', 88 222 155 1955 1879 2032 6642 4942
 33 'C,G2
 40 ', 1178 1353 1265 2702 2620 2784 7490 5953
 50 ', 246 332 289 2112 2072 2152 6798 5077
 60 ', 767 984 875 1488 1378 1598 6275 5562
 70 ', 444 609 528 2750 2670 2829 7437 5314
 80 ', 92 277 185 2752 2660 2844 7540 4872
 90 ', 52 261 157 2739 2642 2837 7428 4944
 100 ', 305 429 368 2584 2519 2649 7372 5055
 110 ', 1913 2052 1982 463 400 527 5152 6771
 120 ', 1918 1982 1955 515 483 546 5303 6643
 130 ', 2154 2176 2165 447 434 462 5135 6953
 140 ', 2486 2580 2538 629 586 672 5416 7225
 143 'C,G1
 150 ', 586 671 629 2537 2486 2579 7225 5417
 160 ', 225 259 243 1939 1926 1952 6727 4930
 170 ', 667 727 697 2119 2084 2154 6807 5484
 180 ', 335 461 398 1953 1883 2022 6741 5086
 190 ', 2500 2631 2565 362 301 423 5050 7353
 200 ', 2642 2837 2739 146 42 249 4933 7428
 210 ', 2620 2809 2715 165 74 255 4853 7502
 220 ', 2692 2857 2774 541 459 621 5328 7461
 230 ', 1372 1598 1485 863 758 971 5551 6272
 240 ', 2106 2184 2145 326 281 370 5113 6833
 250 ', 2651 2817 2733 1292 1205 1379 5979 7521
 260 ', 1897 2044 1971 171 100 240 4958 6658
 270 ', 2359 2462 2412 124 77 172 4812 7198
 280 ', 2281 2428 2355 637 559 715 5425 7042
 283 'C,II01
 285 'S,YIN,2000-07-04,HCX,YHF,20,14:05,18:40,W,WILD NA24 698345, 0 
 287 'C,II01
 290 ', 669 819 744 2462 2386 2538 7150 5532
 300 ', 196 289 242 2529 2478 2581 7317 4929
 310 ', 179 314 246 2047 1971 2123 6734 5034
 313 'C,G2
 320 ', 943 1128 1036 2783 2691 2877 7571 5722
 330 ', 2469 2658 2563 269 181 355 4956 7351
 340 ', 2712 2874 2794 541 461 622 5330 7480
 350 ', 2589 2798 2694 260 156 364 4948 7481
 360 ', 2421 2688 2554 527 385 658 5313 7241
 370 ', 2583 2785 2685 295 202 388 4982 7472
 380 ', 2479 2630 2555 229 156 303 5017 7242
 390 ', 2567 2669 2618 717 662 769 5403 7405
 400 ', 1826 1898 1861 815 778 852 5603 6549
 403 'C,G3
 410 ', 1321 1512 1417 464 374 554 5152 6204
 420 ', 2688 2858 2772 143 66 221 4932 7459
 430 ', 2805 2970 2888 178 88 268 4865 7675
 440 ', 2750 2918 2833 337 248 425 5124 7521
 450 ', 2533 2692 2613 111 23 197 4798 7400
 453 'C,G4
 460 ', 2103 2358 2231 1157 1028 1284 5943 6918
 470 ', 1377 1631 1503 703 573 835 5392 6292
 473 'C,G5
 480 ', 573 835 704 2762 2638 2888 7550 5392
 490 ', 515 667 591 2601 2530 2672 7289 5378
 500 ', 208 381 294 2878 2789 2968 7666 4981
 510 ', 71 239 155 2881 2797 2967 7569 4943
 520 ', 191 337 264 2681 2605 2758 7469 4952
 530 ', 403 529 467 1516 1460 1572 6203 5254
 533 'C,G6
 540 ', 59 167 113 2359 2304 2413 7146 4800
 550 ', 219 382 300 2783 2699 2867 7471 5088
 560 ', 122 294 209 2703 2619 2788 7491 4897
 570 ', 7 154 80 2509 2434 2583 7196 4869
 580 ', 561 753 658 206 109 302 4994 5345
 583 'C,G7
 590 ', 109 302 206 2457 2368 2547 7144 4994
 600 ', 373 657 515 2322 2178 2468 7110 5202
 610 ', 434 688 560 2353 2219 2488 7040 5349
 620 ', 392 561 477 2899 2819 2979 7687 5164
 630 ', 154 299 228 2812 2731 2893 7499 5014
 640 ', 148 367 258 2383 2279 2489 7171 4945
 650 ', 231 654 441 1230 1015 1441 5917 5230
 653 'C,G8
 660 ', 853 1024 939 2347 2267 2427 7134 5627
 670 ', 160 409 284 1478 1357 1599 6166 5072
 680 ', 300 604 452 2675 2528 2822 7462 5139
 690 ', 518 765 641 2503 2384 2622 7191 5429
 700 ', 669 846 757 2451 2361 2539 7238 5445
 710 ', 38 395 216 1957 1782 2131 6643 5004
 713 'C,G9
