 5 'S,YIN,2000-07-05,HCX,YHF,18,8:05,12:40,W,WILD NA24 698345, 2.2 
 7 'C,G9
 10 ', 1301 1458 1379 1248 1170 1327 6036 6068
 20 ', 2237 2445 2341 505 393 617 5193 7128
 30 ', 2158 2317 2238 1418 1345 1493 6206 6926
 40 ', 2323 2521 2422 587 488 686 5274 7210
 50 ', 1803 2007 1904 1189 1092 1287 5977 6592
 60 ', 2183 2388 2287 358 249 467 5045 7074
 70 ', 2017 2179 2098 651 564 737 5438 6785
 80 ', 2354 2500 2428 1019 946 1094 5707 7215
 83 'C,G8
 90 ', 946 1094 1019 1526 1448 1603 6313 5707
 100 ', 1654 1890 1772 721 603 840 5409 6560
 110 ', 2058 2237 2148 728 639 817 5516 6835
 120 ', 2310 2451 2380 381 304 458 5068 7168
 130 ', 2734 2871 2803 301 236 367 5089 7490
 140 ', 2618 2773 2697 719 641 798 5407 7483
 150 ', 2291 2500 2397 1004 903 1107 5793 7083
 160 ', 2101 2309 2205 1066 971 1159 5753 6993
 170 ', 1792 1935 1864 1279 1198 1361 6068 6552
 180 ', 2536 2688 2612 394 314 474 5081 7398
 183 'C,G7
 190 ', 314 474 394 393 317 468 5180 5081
 200 ', 2468 2592 2529 169 100 237 4856 7317
 210 ', 2631 2799 2715 185 107 263 4973 7403
 220 ', 2719 2893 2807 444 363 526 5132 7594
 230 ', 2205 2314 2260 313 249 378 5101 6947
 233 'C,G6
 240 ', 1827 1989 1908 313 241 384 5000 6695
 250 ', 2536 2686 2611 405 332 478 5194 7298
 260 ', 2779 2935 2857 269 191 347 4957 7644
 270 ', 2669 2828 2749 365 283 447 5153 7436
 280 ', 2602 2751 2678 578 502 653 5264 7464
 290 ', 2221 2358 2289 311 233 388 5098 6977
 293 'C,G5
 300 ', 233 388 311 1042 972 1113 5729 5098
 310 ', 1389 1577 1482 1806 1708 1904 6594 6170
 320 ', 1059 1248 1153 1973 1888 2058 6660 5941
 323 'C,G4
 330 ', 119 280 200 2755 2673 2837 7543 4887
 340 ', 409 539 474 2716 2643 2788 7403 5262
 350 ', 469 608 538 2848 2776 2920 7635 5226
 360 ', 304 459 382 2828 2754 2902 7515 5170
 370 ', 368 511 439 2662 2593 2731 7451 5127
 380 ', 973 1043 1007 524 487 559 5211 5795
 383 'C,G3
 390 ', 488 560 524 2087 2049 2123 6874 5211
 400 ', 281 428 354 2723 2654 2793 7411 5142
 410 ', 101 242 172 2637 2563 2708 7423 4859
 420 ', 347 531 439 2629 2533 2722 7316 5227
 430 ', 936 1083 1010 2133 2069 2197 6921 5698
 440 ', 238 458 348 2795 2684 2903 7481 5135
 450 ', 563 731 648 2797 2714 2877 7582 5333
 460 ', 251 428 339 2727 2632 2820 7413 5127
 470 ', 2730 2915 2821 1052 960 1145 5840 7509
 473 'C,G2
 480 ', 2019 2171 2095 295 228 362 4982 6883
 490 ', 2512 2617 2564 278 231 333 5066 7252
 500 ', 2440 2593 2517 798 727 877 5487 7306
 503 'C,II01
