 5 'S,QING,2000-07-06,HCX,YHF,20,8:00,10:55,W,WILD NA24 698345, 0 
 7 'C,II06
 10 ', 444 564 504 2832 2781 2883 7620 5192
 20 ', 574 607 591 2467 2449 2484 7154 5378
 30 ', 346 378 362 2501 2486 2516 7288 5049
 40 ', 137 173 156 2736 2719 2753 7424 4943
 50 ', 106 131 118 2945 2928 2962 7733 4805
 60 ', 281 379 331 757 711 803 5445 5119
 63 'C,D1.6
 70 ', 51 133 92 2299 2255 2344 7088 4779
 80 ', 502 652 577 2614 2534 2694 7301 5364
 90 ', 227 361 294 2458 2391 2527 7247 4981
 100 ', 364 547 456 2451 2364 2537 7138 5243
 110 ', 620 983 802 2602 2421 2785 7390 5490
 120 ', 1418 1587 1502 2478 2393 2563 7166 6289
 130 ', 602 734 669 2473 2404 2542 7261 5356
 140 ', 347 557 451 1721 1611 1833 6409 5239
 143 'C,G20
 150 ', 401 523 463 2577 2521 2632 7364 5151
 160 ', 141 236 189 2233 2188 2279 6921 4977
 170 ', 304 484 395 2731 2641 2819 7518 5082
 180 ', 256 445 351 2850 2751 2948 7537 5139
 190 ', 441 650 547 2547 2438 2656 7334 5233
 200 ', 685 934 811 2427 2297 2557 7114 5598
 210 ', 431 742 587 2408 2250 2566 7195 5274
 220 ', 523 765 643 2839 2727 2953 7528 5431
 230 ', 928 1194 1061 2445 2313 2577 7233 5749
 240 ', 591 851 719 2029 1903 2153 6716 5508
 243 'C,G21
 250 ', 39 239 139 2253 2149 2358 7041 4827
 260 ', 455 731 593 2093 1951 2235 6781 5380
 270 ', 1167 1484 1325 1258 1104 1411 6045 6013
 280 ', 1401 1618 1509 1633 1522 1742 6320 6297
 290 ', 1252 1435 1343 1372 1272 1471 6159 6031
 293 'C,G22
 295 'S,QING,2000-07-06,HCX,YHF,25,15:12,17:20,W,WILD NA24 698345,-2.6 
 297 'C,G22
 300 ', 258 401 330 2323 2255 2391 7011 5118
 310 ', 392 529 460 2462 2391 2533 7249 5148
 320 ', 457 621 539 2617 2533 2699 7304 5327
 330 ', 392 566 479 2426 2347 2504 7213 5167
 340 ', 739 956 849 2844 2738 2951 7532 5635
 350 ', 422 611 517 2587 2499 2673 7374 5204
 360 ', 322 522 422 2365 2263 2465 7052 5211
 363 'C,G23
 370 ', 59 216 138 2485 2407 2563 7272 4825
 380 ', 614 761 688 2469 2398 2541 7157 5475
 390 ', 899 1001 951 2218 2164 2272 7006 5638
 400 ', 529 645 587 2149 2093 2204 6836 5374
 410 ', 255 438 348 2503 2417 2591 7291 5034
 420 ', 551 739 646 2533 2442 2622 7219 5433
 430 ', 686 837 761 2387 2302 2469 7173 5449
 440 ', 1267 1599 1434 2499 2332 2665 7187 6221
 450 ', 1511 1883 1698 1627 1431 1821 6414 6384
 453 'C,G24
 460 ', 268 324 297 2665 2638 2692 7353 5084
 470 ', 226 259 243 2273 2255 2289 7059 4931
 480 ', 713 928 820 2795 2683 2907 7482 5608
 490 ', 289 597 442 2249 2098 2401 7037 5130
 500 ', 161 552 358 2575 2380 2770 7262 5145
 510 ', 769 1097 933 1709 1539 1878 6497 5621
 520 ', 1473 1781 1628 519 362 676 5207 6415
 530 ', 677 1136 907 2285 2062 2508 7072 5594
 540 ', 1224 1583 1404 815 628 1002 5502 6192
 543 'C,G25
