 5 'S,YIN,2000-07-07,HCX,YHF,20,8:00,10:50,W,WILD NA24 698345,-2.7 
 7 'C,G25
 10 ', 601 1009 805 1397 1199 1595 6184 5492
 20 ', 2116 2527 2320 939 728 1152 5628 7108
 30 ', 271 593 432 1490 1329 1650 6278 5119
 40 ', 1516 1849 1682 1015 851 1179 5701 6470
 50 ', 2342 2723 2533 360 162 559 5149 7220
 60 ', 2269 2573 2421 484 339 631 5171 7209
 70 ', 2430 2568 2499 1187 1126 1249 5975 7187
 80 ', 1788 1886 1838 823 775 871 5511 6625
 90 ', 2137 2161 2149 495 484 507 5284 6836
 100 ', 2568 2622 2595 227 197 254 4913 7382
 103 'C,G24
 110 ', 1371 1762 1568 1473 1280 1667 6261 6255
 120 ', 2269 2588 2429 1575 1410 1739 6261 7215
 130 ', 2341 2495 2419 628 551 703 5415 7106
 140 ', 2538 2730 2633 373 275 470 5060 7421
 150 ', 2646 2853 2750 279 177 382 5068 7437
 160 ', 2596 2803 2699 287 182 389 4973 7487
 170 ', 2331 2457 2398 141 73 209 4929 7086
 180 ', 2081 2162 2122 636 598 674 5323 6909
 183 'C,G23
 190 ', 2222 2425 2323 392 293 491 5179 7011
 200 ', 2549 2738 2642 561 474 650 5249 7430
 210 ', 2449 2612 2530 554 471 639 5343 7217
 220 ', 2573 2822 2699 157 40 272 4843 7485
 230 ', 1411 1541 1477 407 337 478 5194 6163
 240 ', 2481 2611 2546 78 17 139 4765 7334
 250 ', 2181 2315 2249 287 216 358 5075 6935
 253 'C,G22
 260 ', 1317 1624 1471 1119 967 1269 5805 6259
 270 ', 1122 1427 1275 1669 1511 1828 6457 5961
 280 ', 1692 1991 1841 509 364 654 5197 6629
 290 ', 2431 2661 2546 136 21 251 4923 7232
 293 'C,G21
 295 'S,YIN,2000-07-07,HCX,YHF,24,15:35,17:20,W,WILD NA24 698345, 0 
 297 'C,G21
 300 ', 2379 2742 2561 461 282 640 5149 7349
 310 ', 2043 2207 2125 757 671 841 5543 6813
 320 ', 2059 2231 2145 721 635 809 5409 6933
 330 ', 1488 1692 1590 783 678 891 5572 6278
 340 ', 2588 2907 2747 779 624 934 5466 7534
 350 ', 2124 2328 2225 464 358 571 5252 6913
 360 ', 2542 2727 2635 361 271 450 5048 7422
 370 ', 2559 2727 2642 594 511 677 5381 7330
 380 ', 2519 2683 2601 435 351 519 5122 7389
 390 ', 2064 2147 2106 895 851 940 5683 6794
 400 ', 2674 2846 2759 565 478 653 5253 7548
 403 'C,G20
 410 ', 478 653 566 435 341 529 5222 5253
 420 ', 2718 2933 2826 128 17 236 4814 7614
 430 ', 1948 2291 2118 214 46 383 5002 6807
 440 ', 2291 2533 2411 229 109 349 4916 7199
 450 ', 2619 2795 2707 243 162 323 5031 7394
 460 ', 2662 2820 2741 412 329 496 5099 7529
 470 ', 2592 2739 2667 117 48 185 4904 7353
 473 'C,D1.6
 480 ', 1189 1317 1253 829 764 892 5516 6041
 490 ', 2861 2896 2878 49 37 63 4837 7567
 500 ', 2858 2896 2877 298 283 314 4987 7664
 510 ', 2474 2503 2488 346 329 362 5133 7176
 520 ', 2322 2358 2341 464 449 481 5152 7128
 530 ', 2627 2733 2679 351 294 409 5139 7368
 533 'C,II06
